averating,brand,dimension,frcolor,img,interface,keycap,led,logilayout,model,name,nreviews,physlayout,price,rollover,size,sku,switch,weight
5.0,Filco,"14.20"" x 5.40"" x 1.50""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2022_TKL1.jpg,Wireless,Primary: Beige Pad Printed ABS with White legends,n/a,ANSI,Majestouch Convertible 2,Filco Majestouch Convertible 2 TKL Mechanical Keyboard,1,US QWERTY,$179.00,Full,Tenkeyless,FKBC87ML/EB2,Cherry MX Black,2.20 lbs
,Ducky,"17.32"" x 5.31"" x 1.58""",Black,https://mechanicalkeyboards.com/shop/images/products/large_DKON1808S-AUSPDAZW1_main.jpg,USB,Primary: Black Double Shot PBT with Backlit (clear) legends,White,ANSI,One 2,Ducky One 2 Black Case White LED Double Shot PBT Mechanical Keyboard,0,US QWERTY,$109.00,Full,Full Size,DKON1808S-AUSPDAZW1,Cherry MX Black,2.43 lbs
,Filco,"17.40"" x 5.50"" x 1.60""",Black,https://mechanicalkeyboards.com/shop/images/products/large_FKBN104MEB2_main.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,Majestouch 2,Filco Majestouch 2 Mechanical Keyboard,0,US QWERTY,$149.00,Full,Full Size,FKBN104M/EB2,Cherry MX Brown,2.70 lbs
3.3,Ducky,"17.32"" x 5.31"" x 1.58""",Blue,https://mechanicalkeyboards.com/shop/images/products/large_DKON1808-PUSPDZBBH_main.png,USB,Primary: Multi Double Shot PBT with Multi legends,n/a,ANSI,One 2,Ducky One 2 Horizon Double Shot PBT Mechanical Keyboard,3,US QWERTY,$99.00,Full,Full Size,DKON1808-AUSPDZBBH,Cherry MX Black,2.43 lbs
4.0,Ducky,"17.32"" x 5.31"" x 1.58""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1683_zab2_1.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,One,Ducky One Gray / White Dye Sub PBT Mechanical Keyboard,5,US QWERTY,$109.00,Full,Full Size,DKON1608-AUSPHZAB2,Cherry MX Black,2.43 lbs
4.8,Topre,"17.91"" x 5.59"" x 1.18""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2114_RF.jpg,USB,Primary: Black Double Shot ABS with Backlit (clear) legends,RGB,ANSI,Realforce RGB,Topre Realforce RGB LED  Double Shot ABS Mechanical Keyboard,6,US QWERTY,$229.00,Full,Full Size,AEAX01,Topre 45g,3.08 lbs
4.9,Mechanical Keyboards Inc,"17.25"" x 5.50"" x 1.50""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2103_fission1.jpg,USB,Primary: White Double Shot PBT with Backlit (clear) legends,White,ANSI,Fission,MK Fission White Keycaps White LED  Double Shot PBT Mechanical Keyboard,12,US QWERTY,$114.00,Full,Full Size,MKFI0417-CUSADWAW1,Cherry MX Blue,2.50 lbs
5.0,Ducky,"17.32"" x 5.51"" x 1.61""",Black,https://mechanicalkeyboards.com/shop/images/products/large_DKON1608S-USPDAAW1_main.jpg,USB,Primary: Black Double Shot PBT with Backlit (clear) legends,White,ANSI,One,Ducky One White LED PBT Double Shot PBT Mechanical Keyboard,3,US QWERTY,$115.00,Full,Full Size,DKON1608S-AUSPDAAW1,Cherry MX Black,2.87 lbs
5.0,Filco,"14.10"" x 5.30"" x 1.30""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1821_MajestouchTKL1.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,Majestouch 2,Filco Majestouch 2 TKL Mechanical Keyboard,5,US QWERTY,$129.00,Full,Tenkeyless,FKBN87M/EB2,Cherry MX Brown,2.20 lbs
3.5,Ducky,"14.04"" x 5.24"" x 1.61""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2417_DKON1687S.jpg,USB,Primary: Black Double Shot PBT with Backlit (clear) legends,Blue,ANSI,One,Ducky One TKL PBT Blue LED Double Shot PBT Mechanical Keyboard,4,US QWERTY,$99.00,Full,Tenkeyless,DKON1687S-BUSPDAAB1,Cherry MX Brown,2.43 lbs
,Ducky,"17.32"" x 5.51"" x 1.61""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2880_RGBBlack_1.jpg,USB,Primary: Black Double Shot PBT with Backlit (clear) legends,RGB,ANSI,One RGB,Ducky One Black RGB LED Double Shot PBT Mechanical Keyboard,0,US QWERTY,$139.00,Full,Full Size,DKON1708ST-AUSPDAAT1,Cherry MX Black,2.87 lbs
4.0,Ducky,"14.37"" x 5.31"" x 1.57""",Gray,https://mechanicalkeyboards.com/shop/images/products/large_DKON1887-AUSPDZHBS_main.jpg,USB,Primary: Multi Double Shot PBT with White legends,n/a,ANSI,One 2,Ducky One 2 Skyline TKL Double Shot PBT Mechanical Keyboard,1,US QWERTY,$99.00,Full,Tenkeyless,DKON1887-AUSPDZHBS,Cherry MX Black,2.10 lbs
4.4,Vortex,"12.21"" x 4.73"" x 1.18""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG83MSLV_main.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,Race 3,Vortex Race 3 TKL Dye Sub PBT Mechanical Keyboard,26,US QWERTY,$139.00,Full,Tenkeyless,VTG83BLEMSLV,Cherry MX Blue,1.69 lbs
4.4,Vortex,"12.21"" x 4.73"" x 1.18""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG83MSLV_main.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,Race 3,Vortex Race 3 TKL Dye Sub PBT Mechanical Keyboard,26,US QWERTY,$139.00,Full,Tenkeyless,VTG83BRNMSLV,Cherry MX Brown,1.69 lbs
4.4,Vortex,"12.21"" x 4.73"" x 1.18""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG83MSLV_main.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,Race 3,Vortex Race 3 TKL Dye Sub PBT Mechanical Keyboard,26,US QWERTY,$139.00,Full,Tenkeyless,VTG83REDMSLV,Cherry MX Red,1.69 lbs
4.4,Vortex,"12.21"" x 4.73"" x 1.18""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG83MSLV_main.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,Race 3,Vortex Race 3 TKL Dye Sub PBT Mechanical Keyboard,26,US QWERTY,$139.00,Full,Tenkeyless,VTG83SRDMSLV,Cherry MX Silent Red,1.69 lbs
4.4,Vortex,"12.21"" x 4.73"" x 1.18""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG83MSLV_main.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,Race 3,Vortex Race 3 TKL Dye Sub PBT Mechanical Keyboard,26,US QWERTY,$144.00,Full,Tenkeyless,VTG83CLRMSLV,Cherry MX Clear,1.69 lbs
4.4,Vortex,"12.21"" x 4.73"" x 1.18""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG83MSLV_main.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,Race 3,Vortex Race 3 TKL Dye Sub PBT Mechanical Keyboard,26,US QWERTY,$146.00,Full,Tenkeyless,VTG83SVRMSLV,Cherry MX Silver,1.69 lbs
